,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.12081046589483042,kshape,arithmetic,3,moving_average,60
1,5,0.11564487658422339,kshape,arithmetic,3,moving_average,60
2,6,0.10317548484991856,kshape,arithmetic,3,moving_average,60
