,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.4572801593592292,ahc,single,arithmetic,3,moving_average,14
1,5,0.27384201362531857,ahc,single,arithmetic,3,moving_average,14
2,6,0.2582795997253991,ahc,single,arithmetic,3,moving_average,14
3,7,0.1620856209396804,ahc,single,arithmetic,3,moving_average,14
4,4,0.3737484765653032,ahc,average,arithmetic,3,moving_average,14
5,5,0.23683795562393892,ahc,average,arithmetic,3,moving_average,14
6,6,0.1955332090455642,ahc,average,arithmetic,3,moving_average,14
7,7,0.1362774016029046,ahc,average,arithmetic,3,moving_average,14
8,4,0.11110174335688423,ahc,complete,arithmetic,3,moving_average,14
9,5,0.12314616873841147,ahc,complete,arithmetic,3,moving_average,14
10,6,0.12717473544601704,ahc,complete,arithmetic,3,moving_average,14
11,7,0.1081672228698044,ahc,complete,arithmetic,3,moving_average,14
