,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.21121113744979245,kshape,arithmetic,3,moving_average,7
1,5,0.1948788723205742,kshape,arithmetic,3,moving_average,7
2,6,0.182579114430909,kshape,arithmetic,3,moving_average,7
