,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.23428656264570485,ahc,single,arithmetic,3,moving_average,14
1,5,0.20372148747388327,ahc,single,arithmetic,3,moving_average,14
2,6,0.16494364981239693,ahc,single,arithmetic,3,moving_average,14
3,7,0.09512320216792149,ahc,single,arithmetic,3,moving_average,14
4,4,0.14987649323968788,ahc,average,arithmetic,3,moving_average,14
5,5,0.14687683199315002,ahc,average,arithmetic,3,moving_average,14
6,6,0.12933501467856132,ahc,average,arithmetic,3,moving_average,14
7,7,0.05863441653290249,ahc,average,arithmetic,3,moving_average,14
8,4,0.14784167338634718,ahc,complete,arithmetic,3,moving_average,14
9,5,0.11967040519110936,ahc,complete,arithmetic,3,moving_average,14
10,6,0.0858636219496091,ahc,complete,arithmetic,3,moving_average,14
11,7,0.08685690197654242,ahc,complete,arithmetic,3,moving_average,14
