,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.20568314446523778,kshape,arithmetic,3,moving_average,3
1,5,0.20679996577324358,kshape,arithmetic,3,moving_average,3
2,6,0.19403994718841508,kshape,arithmetic,3,moving_average,3
