,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.4152092850361392,ahc,single,arithmetic,3,moving_average,60
1,5,0.20460238068721923,ahc,single,arithmetic,3,moving_average,60
2,6,0.13284782528247385,ahc,single,arithmetic,3,moving_average,60
3,7,0.06936751780798937,ahc,single,arithmetic,3,moving_average,60
4,4,0.3039021440247456,ahc,average,arithmetic,3,moving_average,60
5,5,0.25641288650954713,ahc,average,arithmetic,3,moving_average,60
6,6,0.17635461858808463,ahc,average,arithmetic,3,moving_average,60
7,7,0.15106682081049527,ahc,average,arithmetic,3,moving_average,60
8,4,0.11723681509900408,ahc,complete,arithmetic,3,moving_average,60
9,5,0.10784270700969699,ahc,complete,arithmetic,3,moving_average,60
10,6,0.11614987660507314,ahc,complete,arithmetic,3,moving_average,60
11,7,0.10920727626206046,ahc,complete,arithmetic,3,moving_average,60
