,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.11955359995269113,kshape,arithmetic,3,moving_average,60
1,5,0.10730484755412453,kshape,arithmetic,3,moving_average,60
2,6,0.10131147190350027,kshape,arithmetic,3,moving_average,60
