,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.059168115659239705,ahc,single,arithmetic,3,moving_average,60
1,5,0.039374670183438744,ahc,single,arithmetic,3,moving_average,60
2,6,0.012289219047450372,ahc,single,arithmetic,3,moving_average,60
3,7,0.002961387328322981,ahc,single,arithmetic,3,moving_average,60
4,4,0.2416371056894922,ahc,average,arithmetic,3,moving_average,60
5,5,0.22457355413923302,ahc,average,arithmetic,3,moving_average,60
6,6,0.1632088852861241,ahc,average,arithmetic,3,moving_average,60
7,7,0.1514144390757621,ahc,average,arithmetic,3,moving_average,60
8,4,0.21594473950819357,ahc,complete,arithmetic,3,moving_average,60
9,5,0.15022817462548926,ahc,complete,arithmetic,3,moving_average,60
10,6,0.17222652578786804,ahc,complete,arithmetic,3,moving_average,60
11,7,0.16928703316538926,ahc,complete,arithmetic,3,moving_average,60
