,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.20792620786412436,kshape,arithmetic,3,moving_average,7
1,5,0.19391625726940487,kshape,arithmetic,3,moving_average,7
2,6,0.16844350460216725,kshape,arithmetic,3,moving_average,7
