,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,-0.044356199094023024,ahc,single,arithmetic,3,moving_average,21
1,5,-0.04808648330663013,ahc,single,arithmetic,3,moving_average,21
2,6,-0.04990592292793868,ahc,single,arithmetic,3,moving_average,21
3,7,-0.11013669834857398,ahc,single,arithmetic,3,moving_average,21
4,4,0.4308825271853782,ahc,average,arithmetic,3,moving_average,21
5,5,0.383076135558555,ahc,average,arithmetic,3,moving_average,21
6,6,0.3880490689743058,ahc,average,arithmetic,3,moving_average,21
7,7,0.34849105711800704,ahc,average,arithmetic,3,moving_average,21
8,4,0.34733687136630254,ahc,complete,arithmetic,3,moving_average,21
9,5,0.34839565938611883,ahc,complete,arithmetic,3,moving_average,21
10,6,0.36724893127968367,ahc,complete,arithmetic,3,moving_average,21
11,7,0.2857959929877915,ahc,complete,arithmetic,3,moving_average,21
