,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.11979838312270326,kshape,arithmetic,3,moving_average,60
1,5,0.11373641939725423,kshape,arithmetic,3,moving_average,60
2,6,0.0977258560424664,kshape,arithmetic,3,moving_average,60
