,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.16782529053777645,ahc,single,arithmetic,3,moving_average,30
1,5,0.1613564531990146,ahc,single,arithmetic,3,moving_average,30
2,6,0.10938217254887453,ahc,single,arithmetic,3,moving_average,30
3,7,0.012021328164283833,ahc,single,arithmetic,3,moving_average,30
4,4,0.14329295549427518,ahc,average,arithmetic,3,moving_average,30
5,5,0.09166253362316662,ahc,average,arithmetic,3,moving_average,30
6,6,0.13376690209374748,ahc,average,arithmetic,3,moving_average,30
7,7,0.12487385800910115,ahc,average,arithmetic,3,moving_average,30
8,4,0.1333327437764358,ahc,complete,arithmetic,3,moving_average,30
9,5,0.10370096747523959,ahc,complete,arithmetic,3,moving_average,30
10,6,0.10197228085300522,ahc,complete,arithmetic,3,moving_average,30
11,7,0.09786720108352585,ahc,complete,arithmetic,3,moving_average,30
