,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.3808562233278673,ahc,single,arithmetic,3,moving_average,14
1,5,0.23506550354649103,ahc,single,arithmetic,3,moving_average,14
2,6,0.1367602933096934,ahc,single,arithmetic,3,moving_average,14
3,7,0.008329623596757115,ahc,single,arithmetic,3,moving_average,14
4,4,0.3528330110566539,ahc,average,arithmetic,3,moving_average,14
5,5,0.3014872565760674,ahc,average,arithmetic,3,moving_average,14
6,6,0.2655182332975869,ahc,average,arithmetic,3,moving_average,14
7,7,0.23599098534982993,ahc,average,arithmetic,3,moving_average,14
8,4,0.14670516611933423,ahc,complete,arithmetic,3,moving_average,14
9,5,0.1495489273935288,ahc,complete,arithmetic,3,moving_average,14
10,6,0.1475514762861437,ahc,complete,arithmetic,3,moving_average,14
11,7,0.11620627819917617,ahc,complete,arithmetic,3,moving_average,14
