,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.16381690915505423,kshape,arithmetic,3,moving_average,30
1,5,0.13524066387294742,kshape,arithmetic,3,moving_average,30
2,6,0.13294991049346103,kshape,arithmetic,3,moving_average,30
