,clusters,silhouette_score,inertia,method
0,2,0.3989615088077306,123.35160921649315,kmeans
1,3,0.057168931929524006,115.05697487447205,kmeans
2,4,0.05063704887488532,113.83595352985972,kmeans
3,5,0.047014612917535066,113.16153528369836,kmeans
4,6,0.05874863091701725,109.42913992995003,kmeans
5,7,0.04857798251500158,105.76886322935881,kmeans
6,10,0.03797626346724073,104.95356590763441,kmeans
