,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.21481162968990533,kshape,arithmetic,3,moving_average,10
1,5,0.19151589596224175,kshape,arithmetic,3,moving_average,10
2,6,0.16202259031307686,kshape,arithmetic,3,moving_average,10
