,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.17075641684110116,kshape,arithmetic,3,moving_average,21
1,5,0.15304312407234175,kshape,arithmetic,3,moving_average,21
2,6,0.1494213705565119,kshape,arithmetic,3,moving_average,21
