,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.4741828246066218,ahc,single,arithmetic,3,moving_average,30
1,5,0.19394060003588356,ahc,single,arithmetic,3,moving_average,30
2,6,0.13203258432577678,ahc,single,arithmetic,3,moving_average,30
3,7,0.07299489167460957,ahc,single,arithmetic,3,moving_average,30
4,4,0.19409089101432186,ahc,average,arithmetic,3,moving_average,30
5,5,0.11127303213191915,ahc,average,arithmetic,3,moving_average,30
6,6,0.11114001609729536,ahc,average,arithmetic,3,moving_average,30
7,7,0.10370688835644735,ahc,average,arithmetic,3,moving_average,30
8,4,0.07087145220682342,ahc,complete,arithmetic,3,moving_average,30
9,5,0.08773119339772059,ahc,complete,arithmetic,3,moving_average,30
10,6,0.0869964486999156,ahc,complete,arithmetic,3,moving_average,30
11,7,0.08279120112527769,ahc,complete,arithmetic,3,moving_average,30
