,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.21597126168769626,kshape,arithmetic,3,moving_average,3
1,5,0.1927675507928268,kshape,arithmetic,3,moving_average,3
2,6,0.1768332209979485,kshape,arithmetic,3,moving_average,3
