,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.4103576960657902,ahc,single,arithmetic,3,moving_average,7
1,5,0.3821218987658928,ahc,single,arithmetic,3,moving_average,7
2,6,0.2040892983842479,ahc,single,arithmetic,3,moving_average,7
3,7,0.12493286317985783,ahc,single,arithmetic,3,moving_average,7
4,4,0.40957629006663,ahc,average,arithmetic,3,moving_average,7
5,5,0.25316202662401444,ahc,average,arithmetic,3,moving_average,7
6,6,0.22305632515363644,ahc,average,arithmetic,3,moving_average,7
7,7,0.2225047720006386,ahc,average,arithmetic,3,moving_average,7
8,4,0.21585568849422093,ahc,complete,arithmetic,3,moving_average,7
9,5,0.19381392675469267,ahc,complete,arithmetic,3,moving_average,7
10,6,0.06355964541471132,ahc,complete,arithmetic,3,moving_average,7
11,7,0.09847564606467406,ahc,complete,arithmetic,3,moving_average,7
