,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.18638416069772398,kshape,arithmetic,3,moving_average,21
1,5,0.15621821282056428,kshape,arithmetic,3,moving_average,21
2,6,0.15989420291434173,kshape,arithmetic,3,moving_average,21
