,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.3724282884627218,ahc,single,arithmetic,3,moving_average,30
1,5,0.3617413771830736,ahc,single,arithmetic,3,moving_average,30
2,6,0.20845377488841974,ahc,single,arithmetic,3,moving_average,30
3,7,0.1362942752217713,ahc,single,arithmetic,3,moving_average,30
4,4,0.2916997509872692,ahc,average,arithmetic,3,moving_average,30
5,5,0.2901134234437736,ahc,average,arithmetic,3,moving_average,30
6,6,0.24393776393651395,ahc,average,arithmetic,3,moving_average,30
7,7,0.22488007854554945,ahc,average,arithmetic,3,moving_average,30
8,4,0.21678979791225558,ahc,complete,arithmetic,3,moving_average,30
9,5,0.20634575724731016,ahc,complete,arithmetic,3,moving_average,30
10,6,0.20472309490908056,ahc,complete,arithmetic,3,moving_average,30
11,7,0.1737084749091271,ahc,complete,arithmetic,3,moving_average,30
