,clusters,silhouette_score,inertia,method
0,2,0.3461208209009003,139.149218926582,kmeans
1,3,0.04046587511513241,135.6597770995838,kmeans
2,4,0.0435564543045786,128.72899371873322,kmeans
3,5,0.03944453427511855,127.35487015931477,kmeans
4,6,0.04068982106865297,124.47256663700597,kmeans
5,7,0.040571989834597956,123.2863072706564,kmeans
6,10,0.006994634577941596,121.33672235949848,kmeans
