,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.3813786659198211,ahc,single,arithmetic,3,moving_average,21
1,5,0.23416780274032759,ahc,single,arithmetic,3,moving_average,21
2,6,0.23287478902851308,ahc,single,arithmetic,3,moving_average,21
3,7,0.1306311602795831,ahc,single,arithmetic,3,moving_average,21
4,4,0.25333567550000685,ahc,average,arithmetic,3,moving_average,21
5,5,0.19040569461681772,ahc,average,arithmetic,3,moving_average,21
6,6,0.1755733351862453,ahc,average,arithmetic,3,moving_average,21
7,7,0.1472579861560373,ahc,average,arithmetic,3,moving_average,21
8,4,0.1602509895760351,ahc,complete,arithmetic,3,moving_average,21
9,5,0.1480359657182534,ahc,complete,arithmetic,3,moving_average,21
10,6,0.1126698573919224,ahc,complete,arithmetic,3,moving_average,21
11,7,0.11414704363004345,ahc,complete,arithmetic,3,moving_average,21
