,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.36305411915423474,ahc,single,arithmetic,3,moving_average,14
1,5,0.33062497091000875,ahc,single,arithmetic,3,moving_average,14
2,6,0.3302680320969905,ahc,single,arithmetic,3,moving_average,14
3,4,0.4028878306017001,ahc,average,arithmetic,3,moving_average,14
4,5,0.3685157671147072,ahc,average,arithmetic,3,moving_average,14
5,6,0.3397139120609307,ahc,average,arithmetic,3,moving_average,14
6,4,0.40523674107451424,ahc,complete,arithmetic,3,moving_average,14
7,5,0.2921725744008508,ahc,complete,arithmetic,3,moving_average,14
8,6,0.1419947260914664,ahc,complete,arithmetic,3,moving_average,14
