,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.1845779215653713,kshape,arithmetic,3,moving_average,14
1,5,0.17777103163040808,kshape,arithmetic,3,moving_average,14
2,6,0.15583310035517975,kshape,arithmetic,3,moving_average,14
