,clusters,silhouette_score,inertia,method
0,2,0.07632166837351428,115.76328837314419,kmeans
1,3,0.0287158579633113,113.89011697517682,kmeans
2,4,0.00467810798944606,109.15451923000587,kmeans
3,5,0.014040405216680651,105.2545955408077,kmeans
4,6,0.048284139115350705,99.43061913814014,kmeans
5,7,0.030551871647258335,99.18359728496605,kmeans
6,10,0.020092309566617443,99.22895439389528,kmeans
