,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,-0.030830603892568073,ahc,single,arithmetic,3,moving_average,30
1,5,-0.07696529145574235,ahc,single,arithmetic,3,moving_average,30
2,6,-0.1357142168751091,ahc,single,arithmetic,3,moving_average,30
3,7,-0.13835493349866926,ahc,single,arithmetic,3,moving_average,30
4,4,0.4930693799248777,ahc,average,arithmetic,3,moving_average,30
5,5,0.5132376855414372,ahc,average,arithmetic,3,moving_average,30
6,6,0.5114142722311699,ahc,average,arithmetic,3,moving_average,30
7,7,0.5112092006878507,ahc,average,arithmetic,3,moving_average,30
8,4,0.37641655891129683,ahc,complete,arithmetic,3,moving_average,30
9,5,0.3738586083835557,ahc,complete,arithmetic,3,moving_average,30
10,6,0.39715319346966,ahc,complete,arithmetic,3,moving_average,30
11,7,0.38784594944304307,ahc,complete,arithmetic,3,moving_average,30
