,clusters,inertia_score,method,return_mode,n_init,smoothing,window_size/span
0,4,0.20285075167468916,kshape,arithmetic,3,moving_average,14
1,5,0.16661214918949668,kshape,arithmetic,3,moving_average,14
2,6,0.15718230425953691,kshape,arithmetic,3,moving_average,14
