clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
10,0.10938634046487651,kshape,not_applicable,geometric,10,3day,0.1164645159166391,3.2651
2,0.08483239700603268,kshape,not_applicable,geometric,10,full,0.24710607989689723,0.9946
3,0.09702780543243131,kshape,not_applicable,geometric,10,full,0.21303876954942066,1.5236
4,0.09105671828283195,kshape,not_applicable,geometric,10,full,0.19727499644845553,1.9174
5,0.10769610090424311,kshape,not_applicable,geometric,10,full,0.17959106038884504,2.238
6,0.10676197637461751,kshape,not_applicable,geometric,10,full,0.1685483578720443,2.4376
7,0.12324140361945468,kshape,not_applicable,geometric,10,full,0.1544690788453507,2.6741
8,0.11574476370589522,kshape,not_applicable,geometric,10,full,0.1490427425482406,2.8443
9,0.11327626544747636,kshape,not_applicable,geometric,10,full,0.1416877360437706,3.0255
10,0.12418879768499796,kshape,not_applicable,geometric,10,full,0.13673064908717503,3.1101
2,0.08690094726305529,kshape,not_applicable,geometric,14,weekly,0.12639156206247257,0.9988
3,0.0697804698431889,kshape,not_applicable,geometric,14,weekly,0.10896139763850916,1.5813
4,0.04598571579056247,kshape,not_applicable,geometric,14,weekly,0.09733916594405788,1.9493
5,0.043503228886561614,kshape,not_applicable,geometric,14,weekly,0.08910451164486677,2.2405
6,0.058616278598363124,kshape,not_applicable,geometric,14,weekly,0.08210331523375398,2.4663
7,0.053818572839051435,kshape,not_applicable,geometric,14,weekly,0.07445861542635394,2.7278
8,0.04925308232592869,kshape,not_applicable,geometric,14,weekly,0.06895238005274999,2.9473
9,0.0609960282449404,kshape,not_applicable,geometric,14,weekly,0.06510493639382309,3.1287
10,0.05596186344916099,kshape,not_applicable,geometric,14,weekly,0.0637595341336262,3.2876
2,0.0817180704682877,kshape,not_applicable,geometric,14,3day,0.202719083776375,0.998
3,0.07036774497922837,kshape,not_applicable,geometric,14,3day,0.17117695080226927,1.5637
4,0.08479026890174676,kshape,not_applicable,geometric,14,3day,0.1491141720288916,1.9187
5,0.07218863907143008,kshape,not_applicable,geometric,14,3day,0.13701999996010716,2.2861
6,0.08141330907185161,kshape,not_applicable,geometric,14,3day,0.12378932863767285,2.5419
7,0.08364403319614952,kshape,not_applicable,geometric,14,3day,0.12080167523457729,2.7097
8,0.10302881569738394,kshape,not_applicable,geometric,14,3day,0.11194674476881615,2.8081
9,0.08689361259534785,kshape,not_applicable,geometric,14,3day,0.11104452811168546,3.0572
10,0.0986986675148927,kshape,not_applicable,geometric,14,3day,0.10392191015829103,3.24
2,0.08081770737806501,kshape,not_applicable,geometric,14,full,0.2335366819391052,0.9946
3,0.08833848171071185,kshape,not_applicable,geometric,14,full,0.20202355975926092,1.5335
4,0.08595727281047108,kshape,not_applicable,geometric,14,full,0.18542421705219297,1.9907
5,0.09949229502721561,kshape,not_applicable,geometric,14,full,0.1738562325271132,2.2417
6,0.08855293517284585,kshape,not_applicable,geometric,14,full,0.1606369243654134,2.52
