clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.22060967493954184,ahc,average,geometric,7,3day,,0.3054
7,0.07768983273899732,ahc,average,geometric,7,3day,,0.4072
9,0.03460439779865888,ahc,average,geometric,7,3day,,0.5663
10,0.06333850413905831,ahc,average,geometric,7,3day,,1.4598
12,0.061347128650894985,ahc,average,geometric,7,3day,,1.7581
15,0.038184426384749025,ahc,average,geometric,7,3day,,1.8128
18,0.040438377707617934,ahc,average,geometric,7,3day,,2.0748
4,0.10046677924236173,ahc,complete,geometric,7,3day,,1.1048
7,0.04625194195518493,ahc,complete,geometric,7,3day,,2.1647
9,0.043832081055209436,ahc,complete,geometric,7,3day,,2.3987
10,0.04304683172261294,ahc,complete,geometric,7,3day,,2.4162
12,0.042178821675850534,ahc,complete,geometric,7,3day,,2.6317
15,0.042079128202803955,ahc,complete,geometric,7,3day,,3.1587
18,0.037812354053690475,ahc,complete,geometric,7,3day,,3.3905
4,0.2232346109602874,ahc,single,geometric,7,3day,,0.1242
7,0.10070233481375743,ahc,single,geometric,7,3day,,0.2805
9,0.05789970554259337,ahc,single,geometric,7,3day,,0.3951
10,0.050645643656239706,ahc,single,geometric,7,3day,,0.4362
12,-0.002380161276742981,ahc,single,geometric,7,3day,,0.5184
15,-0.030911508038365936,ahc,single,geometric,7,3day,,0.6415
18,-0.04433901121218197,ahc,single,geometric,7,3day,,0.7642
4,0.29528050448662463,ahc,average,geometric,7,full,,0.2611
7,0.1439852417633832,ahc,average,geometric,7,full,,0.361
9,0.12438916334533758,ahc,average,geometric,7,full,,0.4239
10,0.0920584072585184,ahc,average,geometric,7,full,,0.465
12,0.059653285831534494,ahc,average,geometric,7,full,,0.6589
15,0.04605682172757926,ahc,average,geometric,7,full,,1.0875
18,0.030850141147899694,ahc,average,geometric,7,full,,1.2361
4,0.2570370570122261,ahc,complete,geometric,7,full,,0.2696
7,0.0921783761681399,ahc,complete,geometric,7,full,,0.7871
