clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,entropy,normalized_entropy
7,0.08012046262201479,kmeans,single,geometric,30,full,2.3011,0.8197
9,0.04250529747883922,kmeans,single,geometric,30,full,2.9972,0.9455
10,0.02229154427902237,kmeans,single,geometric,30,full,3.0551,0.9197
12,0.025865895477250357,kmeans,single,geometric,30,full,3.3942,0.9468
7,0.19077703732733306,kmeans,average,geometric,60,weekly,2.4247,0.8637
9,0.1459092859686934,kmeans,average,geometric,60,weekly,3.0147,0.951
10,0.15051102173774966,kmeans,average,geometric,60,weekly,3.0737,0.9253
12,0.10118711562354277,kmeans,average,geometric,60,weekly,3.3426,0.9324
7,0.19077703732733306,kmeans,complete,geometric,60,weekly,2.4247,0.8637
9,0.1459092859686934,kmeans,complete,geometric,60,weekly,3.0147,0.951
10,0.15051102173774966,kmeans,complete,geometric,60,weekly,3.0737,0.9253
12,0.10118711562354277,kmeans,complete,geometric,60,weekly,3.3426,0.9324
7,0.19077703732733306,kmeans,single,geometric,60,weekly,2.4247,0.8637
9,0.1459092859686934,kmeans,single,geometric,60,weekly,3.0147,0.951
10,0.15051102173774966,kmeans,single,geometric,60,weekly,3.0737,0.9253
12,0.10118711562354277,kmeans,single,geometric,60,weekly,3.3426,0.9324
7,0.16709644576129268,kmeans,average,geometric,60,3day,2.6759,0.9532
9,0.14614577273009596,kmeans,average,geometric,60,3day,2.9896,0.9431
10,0.1264140268791699,kmeans,average,geometric,60,3day,3.1466,0.9472
12,0.10838426722748744,kmeans,average,geometric,60,3day,3.3407,0.9319
7,0.16709644576129268,kmeans,complete,geometric,60,3day,2.6759,0.9532
9,0.14614577273009596,kmeans,complete,geometric,60,3day,2.9896,0.9431
10,0.1264140268791699,kmeans,complete,geometric,60,3day,3.1466,0.9472
12,0.10838426722748744,kmeans,complete,geometric,60,3day,3.3407,0.9319
7,0.16709644576129268,kmeans,single,geometric,60,3day,2.6759,0.9532
9,0.14614577273009596,kmeans,single,geometric,60,3day,2.9896,0.9431
10,0.1264140268791699,kmeans,single,geometric,60,3day,3.1466,0.9472
12,0.10838426722748744,kmeans,single,geometric,60,3day,3.3407,0.9319
7,0.13461035021553458,kmeans,average,geometric,60,full,2.5124,0.8949
9,0.11064361413593528,kmeans,average,geometric,60,full,2.9181,0.9206
10,0.08002521430674238,kmeans,average,geometric,60,full,3.1741,0.9555
12,0.06625362034053146,kmeans,average,geometric,60,full,3.4044,0.9496
7,0.13461035021553458,kmeans,complete,geometric,60,full,2.5124,0.8949
9,0.11064361413593528,kmeans,complete,geometric,60,full,2.9181,0.9206
10,0.08002521430674238,kmeans,complete,geometric,60,full,3.1741,0.9555
12,0.06625362034053146,kmeans,complete,geometric,60,full,3.4044,0.9496
7,0.13461035021553458,kmeans,single,geometric,60,full,2.5124,0.8949
9,0.11064361413593528,kmeans,single,geometric,60,full,2.9181,0.9206
10,0.08002521430674238,kmeans,single,geometric,60,full,3.1741,0.9555
12,0.06625362034053146,kmeans,single,geometric,60,full,3.4044,0.9496
