clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,entropy,normalized_entropy
12,0.13105565479900416,kshape,complete,geometric,7,3day,3.3683,0.9396
7,0.0863036526336013,kshape,single,geometric,7,3day,2.7191,0.9686
9,0.16235087395054287,kshape,single,geometric,7,3day,2.9905,0.9434
10,0.16788699572159052,kshape,single,geometric,7,3day,3.1578,0.9506
12,0.13105565479900416,kshape,single,geometric,7,3day,3.3683,0.9396
7,0.17347967317041438,kshape,average,geometric,7,full,2.6407,0.9407
9,0.18685809775603637,kshape,average,geometric,7,full,2.9277,0.9236
10,0.18622213942188143,kshape,average,geometric,7,full,2.9937,0.9012
12,0.17709227237871986,kshape,average,geometric,7,full,3.4032,0.9493
7,0.17347967317041438,kshape,complete,geometric,7,full,2.6407,0.9407
9,0.18685809775603637,kshape,complete,geometric,7,full,2.9277,0.9236
10,0.18622213942188143,kshape,complete,geometric,7,full,2.9937,0.9012
12,0.17709227237871986,kshape,complete,geometric,7,full,3.4032,0.9493
7,0.17347967317041438,kshape,single,geometric,7,full,2.6407,0.9407
9,0.18685809775603637,kshape,single,geometric,7,full,2.9277,0.9236
10,0.18622213942188143,kshape,single,geometric,7,full,2.9937,0.9012
12,0.17709227237871986,kshape,single,geometric,7,full,3.4032,0.9493
7,0.10172671938019627,kshape,average,geometric,10,weekly,2.6662,0.9497
9,0.12241840732634313,kshape,average,geometric,10,weekly,3.0358,0.9577
10,0.08148463194029364,kshape,average,geometric,10,weekly,3.157,0.9504
12,0.13645151066087513,kshape,average,geometric,10,weekly,3.386,0.9445
7,0.10172671938019627,kshape,complete,geometric,10,weekly,2.6662,0.9497
9,0.12241840732634313,kshape,complete,geometric,10,weekly,3.0358,0.9577
10,0.08148463194029364,kshape,complete,geometric,10,weekly,3.157,0.9504
12,0.13645151066087513,kshape,complete,geometric,10,weekly,3.386,0.9445
7,0.10172671938019627,kshape,single,geometric,10,weekly,2.6662,0.9497
9,0.12241840732634313,kshape,single,geometric,10,weekly,3.0358,0.9577
10,0.08148463194029364,kshape,single,geometric,10,weekly,3.157,0.9504
12,0.13645151066087513,kshape,single,geometric,10,weekly,3.386,0.9445
7,0.13185770256498056,kshape,average,geometric,10,3day,2.7108,0.9656
9,0.1293536015743639,kshape,average,geometric,10,3day,3.1181,0.9837
10,0.15898962258574217,kshape,average,geometric,10,3day,3.1258,0.941
12,0.1680858220581456,kshape,average,geometric,10,3day,3.3367,0.9308
7,0.13185770256498056,kshape,complete,geometric,10,3day,2.7108,0.9656
9,0.1293536015743639,kshape,complete,geometric,10,3day,3.1181,0.9837
10,0.15898962258574217,kshape,complete,geometric,10,3day,3.1258,0.941
12,0.1680858220581456,kshape,complete,geometric,10,3day,3.3367,0.9308
7,0.13185770256498056,kshape,single,geometric,10,3day,2.7108,0.9656
9,0.1293536015743639,kshape,single,geometric,10,3day,3.1181,0.9837
10,0.15898962258574217,kshape,single,geometric,10,3day,3.1258,0.941
12,0.1680858220581456,kshape,single,geometric,10,3day,3.3367,0.9308
7,0.1689968906133577,kshape,average,geometric,10,full,2.6465,0.9427
9,0.18423358192262684,kshape,average,geometric,10,full,2.8236,0.8907
10,0.17438847328064386,kshape,average,geometric,10,full,3.1145,0.9376
12,0.17208929839814802,kshape,average,geometric,10,full,3.3405,0.9318
7,0.1689968906133577,kshape,complete,geometric,10,full,2.6465,0.9427
9,0.18423358192262684,kshape,complete,geometric,10,full,2.8236,0.8907
10,0.17438847328064386,kshape,complete,geometric,10,full,3.1145,0.9376
12,0.17208929839814802,kshape,complete,geometric,10,full,3.3405,0.9318
7,0.1689968906133577,kshape,single,geometric,10,full,2.6465,0.9427
9,0.18423358192262684,kshape,single,geometric,10,full,2.8236,0.8907
10,0.17438847328064386,kshape,single,geometric,10,full,3.1145,0.9376
12,0.17208929839814802,kshape,single,geometric,10,full,3.3405,0.9318
7,0.10106996501738884,kshape,average,geometric,14,weekly,2.7391,0.9757
9,0.09965916690066981,kshape,average,geometric,14,weekly,2.9958,0.9451
10,0.09693353640215827,kshape,average,geometric,14,weekly,3.1705,0.9544
12,0.09141316589831776,kshape,average,geometric,14,weekly,3.399,0.9481
7,0.10106996501738884,kshape,complete,geometric,14,weekly,2.7391,0.9757
9,0.09965916690066981,kshape,complete,geometric,14,weekly,2.9958,0.9451
10,0.09693353640215827,kshape,complete,geometric,14,weekly,3.1705,0.9544
12,0.09141316589831776,kshape,complete,geometric,14,weekly,3.399,0.9481
7,0.10106996501738884,kshape,single,geometric,14,weekly,2.7391,0.9757
9,0.09965916690066981,kshape,single,geometric,14,weekly,2.9958,0.9451
10,0.09693353640215827,kshape,single,geometric,14,weekly,3.1705,0.9544
12,0.09141316589831776,kshape,single,geometric,14,weekly,3.399,0.9481
7,0.12154640293886596,kshape,average,geometric,14,3day,2.704,0.9632
9,0.11633267307761132,kshape,average,geometric,14,3day,3.1158,0.9829
10,0.12523375087859603,kshape,average,geometric,14,3day,3.0218,0.9097
12,0.13195711132278645,kshape,average,geometric,14,3day,3.3658,0.9389
7,0.12154640293886596,kshape,complete,geometric,14,3day,2.704,0.9632
9,0.11633267307761132,kshape,complete,geometric,14,3day,3.1158,0.9829
10,0.12523375087859603,kshape,complete,geometric,14,3day,3.0218,0.9097
12,0.13195711132278645,kshape,complete,geometric,14,3day,3.3658,0.9389
7,0.12154640293886596,kshape,single,geometric,14,3day,2.704,0.9632
9,0.11633267307761132,kshape,single,geometric,14,3day,3.1158,0.9829
10,0.12523375087859603,kshape,single,geometric,14,3day,3.0218,0.9097
12,0.13195711132278645,kshape,single,geometric,14,3day,3.3658,0.9389
7,0.14487051603058712,kshape,average,geometric,14,full,2.6897,0.9581
9,0.16016340335508808,kshape,average,geometric,14,full,2.9205,0.9213
10,0.16877345933136745,kshape,average,geometric,14,full,3.1047,0.9346
12,0.17637607685152035,kshape,average,geometric,14,full,3.3311,0.9292
7,0.14487051603058712,kshape,complete,geometric,14,full,2.6897,0.9581
9,0.16016340335508808,kshape,complete,geometric,14,full,2.9205,0.9213
10,0.16877345933136745,kshape,complete,geometric,14,full,3.1047,0.9346
12,0.17637607685152035,kshape,complete,geometric,14,full,3.3311,0.9292
7,0.14487051603058712,kshape,single,geometric,14,full,2.6897,0.9581
9,0.16016340335508808,kshape,single,geometric,14,full,2.9205,0.9213
10,0.16877345933136745,kshape,single,geometric,14,full,3.1047,0.9346
12,0.17637607685152035,kshape,single,geometric,14,full,3.3311,0.9292
7,0.00455402187059824,kshape,average,geometric,30,weekly,2.7054,0.9637
9,-0.010207045644352,kshape,average,geometric,30,weekly,3.016,0.9515
10,-0.037752292189869106,kshape,average,geometric,30,weekly,3.1492,0.948
12,-0.06651292470526338,kshape,average,geometric,30,weekly,3.3465,0.9335
7,0.00455402187059824,kshape,complete,geometric,30,weekly,2.7054,0.9637
9,-0.010207045644352,kshape,complete,geometric,30,weekly,3.016,0.9515
10,-0.037752292189869106,kshape,complete,geometric,30,weekly,3.1492,0.948
12,-0.06651292470526338,kshape,complete,geometric,30,weekly,3.3465,0.9335
7,0.00455402187059824,kshape,single,geometric,30,weekly,2.7054,0.9637
9,-0.010207045644352,kshape,single,geometric,30,weekly,3.016,0.9515
10,-0.037752292189869106,kshape,single,geometric,30,weekly,3.1492,0.948
12,-0.06651292470526338,kshape,single,geometric,30,weekly,3.3465,0.9335
7,0.10160212322387287,kshape,average,geometric,30,3day,2.7415,0.9765
9,0.10384758418998068,kshape,average,geometric,30,3day,2.9941,0.9445
10,0.1178719975818939,kshape,average,geometric,30,3day,3.1828,0.9581
12,0.10820288657223287,kshape,average,geometric,30,3day,3.397,0.9476
7,0.10160212322387287,kshape,complete,geometric,30,3day,2.7415,0.9765
9,0.10384758418998068,kshape,complete,geometric,30,3day,2.9941,0.9445
10,0.1178719975818939,kshape,complete,geometric,30,3day,3.1828,0.9581
12,0.10820288657223287,kshape,complete,geometric,30,3day,3.397,0.9476
7,0.10160212322387287,kshape,single,geometric,30,3day,2.7415,0.9765
9,0.10384758418998068,kshape,single,geometric,30,3day,2.9941,0.9445
10,0.1178719975818939,kshape,single,geometric,30,3day,3.1828,0.9581
12,0.10820288657223287,kshape,single,geometric,30,3day,3.397,0.9476
7,0.10807142552279363,kshape,average,geometric,30,full,2.7526,0.9805
9,0.14859387867685414,kshape,average,geometric,30,full,2.9943,0.9446
10,0.13298684339931605,kshape,average,geometric,30,full,3.0665,0.9231
12,0.1162132399395173,kshape,average,geometric,30,full,3.474,0.9691
7,0.10807142552279363,kshape,complete,geometric,30,full,2.7526,0.9805
9,0.14859387867685414,kshape,complete,geometric,30,full,2.9943,0.9446
10,0.13298684339931605,kshape,complete,geometric,30,full,3.0665,0.9231
12,0.1162132399395173,kshape,complete,geometric,30,full,3.474,0.9691
7,0.10807142552279363,kshape,single,geometric,30,full,2.7526,0.9805
9,0.14859387867685414,kshape,single,geometric,30,full,2.9943,0.9446
10,0.13298684339931605,kshape,single,geometric,30,full,3.0665,0.9231
12,0.1162132399395173,kshape,single,geometric,30,full,3.474,0.9691
7,-0.09373851811987023,kshape,average,geometric,60,weekly,2.6186,0.9328
9,-0.1435436077639534,kshape,average,geometric,60,weekly,2.9696,0.9368
10,-0.1451251864766422,kshape,average,geometric,60,weekly,3.0991,0.9329
12,-0.17340885094716416,kshape,average,geometric,60,weekly,3.3921,0.9462
7,-0.09373851811987023,kshape,complete,geometric,60,weekly,2.6186,0.9328
9,-0.1435436077639534,kshape,complete,geometric,60,weekly,2.9696,0.9368
10,-0.1451251864766422,kshape,complete,geometric,60,weekly,3.0991,0.9329
12,-0.17340885094716416,kshape,complete,geometric,60,weekly,3.3921,0.9462
7,-0.09373851811987023,kshape,single,geometric,60,weekly,2.6186,0.9328
9,-0.1435436077639534,kshape,single,geometric,60,weekly,2.9696,0.9368
10,-0.1451251864766422,kshape,single,geometric,60,weekly,3.0991,0.9329
12,-0.17340885094716416,kshape,single,geometric,60,weekly,3.3921,0.9462
7,0.037211815228565696,kshape,average,geometric,60,3day,2.7139,0.9667
9,0.018372455920069548,kshape,average,geometric,60,3day,3.0661,0.9672
10,-0.02529572662733113,kshape,average,geometric,60,3day,3.1883,0.9598
12,-0.014614705485529515,kshape,average,geometric,60,3day,3.341,0.932
7,0.037211815228565696,kshape,complete,geometric,60,3day,2.7139,0.9667
9,0.018372455920069548,kshape,complete,geometric,60,3day,3.0661,0.9672
10,-0.02529572662733113,kshape,complete,geometric,60,3day,3.1883,0.9598
12,-0.014614705485529515,kshape,complete,geometric,60,3day,3.341,0.932
7,0.037211815228565696,kshape,single,geometric,60,3day,2.7139,0.9667
9,0.018372455920069548,kshape,single,geometric,60,3day,3.0661,0.9672
10,-0.02529572662733113,kshape,single,geometric,60,3day,3.1883,0.9598
12,-0.014614705485529515,kshape,single,geometric,60,3day,3.341,0.932
7,0.1001358117308753,kshape,average,geometric,60,full,2.7097,0.9652
9,0.11256047534114504,kshape,average,geometric,60,full,3.0422,0.9597
10,0.09304912585760569,kshape,average,geometric,60,full,3.1864,0.9592
12,0.10742031390646808,kshape,average,geometric,60,full,3.3673,0.9393
7,0.1001358117308753,kshape,complete,geometric,60,full,2.7097,0.9652
9,0.11256047534114504,kshape,complete,geometric,60,full,3.0422,0.9597
10,0.09304912585760569,kshape,complete,geometric,60,full,3.1864,0.9592
12,0.10742031390646808,kshape,complete,geometric,60,full,3.3673,0.9393
7,0.1001358117308753,kshape,single,geometric,60,full,2.7097,0.9652
9,0.11256047534114504,kshape,single,geometric,60,full,3.0422,0.9597
10,0.09304912585760569,kshape,single,geometric,60,full,3.1864,0.9592
12,0.10742031390646808,kshape,single,geometric,60,full,3.3673,0.9393
