clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
7,0.12883425776380597,kshape,not_applicable,geometric,14,3day,0.10737919127097005,2.6806
9,0.13479363696050553,kshape,not_applicable,geometric,14,3day,0.09846292886244756,3.0432
10,0.13882683444418528,kshape,not_applicable,geometric,14,3day,0.09417377826865861,3.1411
12,0.12547148604457425,kshape,not_applicable,geometric,14,3day,0.08779691164995741,3.3683
15,0.15062545437752634,kshape,not_applicable,geometric,14,3day,0.07787949426016065,3.625
18,0.12833307963727725,kshape,not_applicable,geometric,14,3day,0.0699922243310702,3.9424
4,0.13477680723647,kshape,not_applicable,geometric,14,full,0.17296403078337877,1.9858
7,0.15551003432586155,kshape,not_applicable,geometric,14,full,0.13702993432776403,2.6893
9,0.11070576635190375,kshape,not_applicable,geometric,14,full,0.12619955393314683,3.0734
10,0.13185275396006177,kshape,not_applicable,geometric,14,full,0.11761344629159094,3.1964
12,0.1893761618828711,kshape,not_applicable,geometric,14,full,0.10602911312618786,3.4205
15,0.17853513876530813,kshape,not_applicable,geometric,14,full,0.10046023351615653,3.5808
18,0.11650672568808623,kshape,not_applicable,geometric,14,full,0.08846727144670198,4.013
4,0.02863818054857548,kshape,not_applicable,geometric,30,weekly,0.053117052514117295,1.8251
7,0.03538632522703938,kshape,not_applicable,geometric,30,weekly,0.03949892853299681,2.4789
9,-0.03295445592818929,kshape,not_applicable,geometric,30,weekly,0.03714222966582131,2.9794
10,-0.03619204120701036,kshape,not_applicable,geometric,30,weekly,0.037242080113120295,3.1393
12,-0.051826100191386636,kshape,not_applicable,geometric,30,weekly,0.03369188933545103,3.4787
15,-0.13635585718867718,kshape,not_applicable,geometric,30,weekly,0.030297752929777783,3.6564
18,-0.14626490442476553,kshape,not_applicable,geometric,30,weekly,0.028403646259543537,3.8391
4,0.10376889961574633,kshape,not_applicable,geometric,30,3day,0.0907199338992691,1.9941
7,0.09957609889300216,kshape,not_applicable,geometric,30,3day,0.0733496439386706,2.7328
9,0.08035471340953396,kshape,not_applicable,geometric,30,3day,0.06351670529413714,3.0779
