clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.049140386772768746,ahc,average,geometric,7,3day,,0.3031
7,0.0624925765881938,ahc,average,geometric,7,3day,,1.3169
9,0.044950733495612565,ahc,average,geometric,7,3day,,1.3503
10,0.04871977471189951,ahc,average,geometric,7,3day,,1.5304
12,0.04242979988053671,ahc,average,geometric,7,3day,,1.6633
15,0.019326213062157288,ahc,average,geometric,7,3day,,1.9749
18,0.03209587379543607,ahc,average,geometric,7,3day,,2.6382
4,0.05360341437451701,ahc,complete,geometric,7,3day,,1.8148
7,0.04114519460623092,ahc,complete,geometric,7,3day,,2.4114
9,0.0372796783557269,ahc,complete,geometric,7,3day,,2.6396
10,0.03595447461209269,ahc,complete,geometric,7,3day,,2.6734
12,0.0367580643185902,ahc,complete,geometric,7,3day,,3.0321
15,0.039658862575028625,ahc,complete,geometric,7,3day,,3.5235
18,0.040497943794742995,ahc,complete,geometric,7,3day,,3.7122
4,0.08792822055115908,ahc,single,geometric,7,3day,,0.1286
7,-0.01013665961588156,ahc,single,geometric,7,3day,,0.2569
9,-0.03222786711750438,ahc,single,geometric,7,3day,,0.3423
10,-0.037417005663948254,ahc,single,geometric,7,3day,,0.385
12,-0.05547505070628683,ahc,single,geometric,7,3day,,0.4701
15,-0.062153592388395865,ahc,single,geometric,7,3day,,0.5977
18,-0.07047587766763057,ahc,single,geometric,7,3day,,0.7579
4,0.1257541408715279,ahc,average,geometric,7,full,,0.1286
7,0.07062180618394828,ahc,average,geometric,7,full,,0.6647
9,0.045502079475060395,ahc,average,geometric,7,full,,0.6928
10,0.03718448934270674,ahc,average,geometric,7,full,,0.7677
12,0.014652986660963855,ahc,average,geometric,7,full,,0.933
15,0.03986248223248481,ahc,average,geometric,7,full,,1.9618
18,0.029632587224814946,ahc,average,geometric,7,full,,2.1781
4,0.04992555819665538,ahc,complete,geometric,7,full,,1.4891
7,0.04229030696527225,ahc,complete,geometric,7,full,,2.2205
9,0.04423910141687426,ahc,complete,geometric,7,full,,2.4343
10,0.04398236151683297,ahc,complete,geometric,7,full,,2.4436
12,0.03842509420485842,ahc,complete,geometric,7,full,,2.8324
15,0.03922344719910482,ahc,complete,geometric,7,full,,3.0586
18,0.03812800212431216,ahc,complete,geometric,7,full,,3.4719
4,0.08828008341261893,ahc,single,geometric,7,full,,0.1286
7,0.02173455417619412,ahc,single,geometric,7,full,,0.2569
9,0.020867178244967616,ahc,single,geometric,7,full,,0.3423
10,0.005093800733989894,ahc,single,geometric,7,full,,0.385
12,-0.016999882671558653,ahc,single,geometric,7,full,,0.4701
15,-0.03027793898734471,ahc,single,geometric,7,full,,0.5977
18,-0.04113986613197086,ahc,single,geometric,7,full,,0.7249
4,0.13934644975340943,ahc,average,geometric,10,weekly,,1.3485
7,0.09539038817253732,ahc,average,geometric,10,weekly,,1.5218
9,0.08688192728633014,ahc,average,geometric,10,weekly,,2.1998
10,0.0862559406698025,ahc,average,geometric,10,weekly,,2.2895
12,0.06935104081332126,ahc,average,geometric,10,weekly,,2.412
15,0.06857838986143386,ahc,average,geometric,10,weekly,,2.7926
18,0.07011078680485719,ahc,average,geometric,10,weekly,,3.0748
4,0.12635144511047772,ahc,complete,geometric,10,weekly,,1.8392
7,0.0808992442121041,ahc,complete,geometric,10,weekly,,2.6917
9,0.07652271741436478,ahc,complete,geometric,10,weekly,,3.0039
10,0.07604217373486431,ahc,complete,geometric,10,weekly,,3.0882
12,0.07737296513541785,ahc,complete,geometric,10,weekly,,3.2977
15,0.07397073315397189,ahc,complete,geometric,10,weekly,,3.5494
18,0.06875282238026378,ahc,complete,geometric,10,weekly,,3.8369
4,0.048904611836671164,ahc,single,geometric,10,weekly,,0.2254
7,-0.03189542747300863,ahc,single,geometric,10,weekly,,0.3867
9,-0.024698215284669194,ahc,single,geometric,10,weekly,,0.5618
10,-0.03269448987987506,ahc,single,geometric,10,weekly,,0.6042
12,-0.04321436189958018,ahc,single,geometric,10,weekly,,0.6358
15,-0.12073793634384149,ahc,single,geometric,10,weekly,,0.7299
18,-0.13421223446794603,ahc,single,geometric,10,weekly,,0.8567
4,0.04785750112323384,ahc,average,geometric,10,3day,,0.1621
7,0.05929113174813491,ahc,average,geometric,10,3day,,1.5694
9,0.0520532658564,ahc,average,geometric,10,3day,,1.8313
10,0.04915131245615179,ahc,average,geometric,10,3day,,1.906
12,0.042699957907254824,ahc,average,geometric,10,3day,,2.0534
15,0.030876373375122897,ahc,average,geometric,10,3day,,2.1129
18,0.03222919637949628,ahc,average,geometric,10,3day,,2.6945
4,0.04564240036853842,ahc,complete,geometric,10,3day,,1.8694
7,0.03529754865091108,ahc,complete,geometric,10,3day,,2.4321
9,0.025419932161120314,ahc,complete,geometric,10,3day,,2.8967
10,0.026114470738868755,ahc,complete,geometric,10,3day,,2.992
12,0.032473887260472144,ahc,complete,geometric,10,3day,,3.2834
15,0.038238738502363784,ahc,complete,geometric,10,3day,,3.7155
