,126,126,126,126,126,126,126,126
,stock_only,random_crypto,correlation_crypto,random_subclusters_crypto,correlation_subclusters_crypto,subcluster_0_crypto,subcluster_1_crypto,subcluster_2_crypto
annualised_return,0.3763072644845285,0.37904378065371275,0.378772118486906,0.3892645609900198,0.36871830311657494,0.41171469014314915,0.37541891101286656,0.3751508382416428
mean_period_return,0.1715038634789816,0.1726644446895566,0.17255381462909555,0.1769852533356099,0.16831725745251755,0.18653105199826311,0.17117448071154445,0.17101568982061854
sharpe_annualized,3.4841574134075626,3.3604498950651105,3.27117195074517,3.4391397599920146,3.183725518787033,3.642669314209001,3.308028515392013,3.3332793999116412
sharpe_period,2.2245369402555637,2.1444595222363407,2.0878247722906473,2.191014017472208,2.0356425617403158,2.312934587650367,2.1130617205441466,2.1284397427704658
period_VaR,5.666412499618935,5.3248987669481735,5.055688219153989,5.456134610510721,4.804396801120824,5.833269780691928,5.116298314849954,5.2451648591115525
period_CVaR,4.301764781407998,4.135395930776405,4.063020002263866,4.139759158591814,3.9706261373602127,4.210600945184646,4.027177614928783,4.139098519788894
annualized_VaR,8.013517406961528,7.530544054481879,7.149822846657452,7.716139564317506,6.794443115166981,8.249489236835656,7.235538466007417,7.417783280638323
annualized_CVaR,6.083614096006124,5.848333011086501,5.745977991394724,5.854503547038776,5.61531333456791,5.954688962421099,5.695289201117618,5.853569262683857
annualized_volatility,0.0974845312663116,0.1016730107164281,0.10409905234294314,0.10226408763264894,0.10393121814974937,0.10294940351487236,0.10211516506909837,0.10144957697040863
