,clusters,silhouette_score,inertia,method,return_mode,n_init,smoothing,window_size/span
0,4,0.11733084322942457,52.794742633248575,kmeans,arithmetic,3,moving_average,10
1,5,0.06340823985462471,50.81021381446475,kmeans,arithmetic,3,moving_average,10
2,6,0.05392959074455758,47.84412534864742,kmeans,arithmetic,3,moving_average,10
3,7,0.031044302426328683,47.55651381392472,kmeans,arithmetic,3,moving_average,10
