,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.19134761750902224,ahc,single,arithmetic,3,moving_average,30
1,5,0.1689173740420364,ahc,single,arithmetic,3,moving_average,30
2,6,0.11764417438637845,ahc,single,arithmetic,3,moving_average,30
3,7,0.07898219281981071,ahc,single,arithmetic,3,moving_average,30
4,4,0.5688350786629441,ahc,average,arithmetic,3,moving_average,30
5,5,0.5640944235360729,ahc,average,arithmetic,3,moving_average,30
6,6,0.6048880780024412,ahc,average,arithmetic,3,moving_average,30
7,7,0.5742909613365355,ahc,average,arithmetic,3,moving_average,30
8,4,0.5624926717532048,ahc,complete,arithmetic,3,moving_average,30
9,5,0.5383675452485316,ahc,complete,arithmetic,3,moving_average,30
10,6,0.5413810080796311,ahc,complete,arithmetic,3,moving_average,30
11,7,0.5172981621714773,ahc,complete,arithmetic,3,moving_average,30
