,clusters,silhouette_score,inertia,method,return_mode,n_init,smoothing,window_size/span
0,4,0.2819526169017554,7.6639173729125405,kmeans,arithmetic,3,moving_average,21
1,5,0.23500066686586596,6.536474565101005,kmeans,arithmetic,3,moving_average,21
2,6,0.2815641849872791,6.1337619112537425,kmeans,arithmetic,3,moving_average,21
3,7,0.2399998395862035,5.5827735616206215,kmeans,arithmetic,3,moving_average,21
