,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.2484043548737349,ahc,single,arithmetic,3,moving_average,14
1,5,0.19388365897221796,ahc,single,arithmetic,3,moving_average,14
2,6,0.1775642501078864,ahc,single,arithmetic,3,moving_average,14
3,7,0.08370975609143348,ahc,single,arithmetic,3,moving_average,14
4,4,0.3353929093577845,ahc,average,arithmetic,3,moving_average,14
5,5,0.3096628863747024,ahc,average,arithmetic,3,moving_average,14
6,6,0.3100848986612301,ahc,average,arithmetic,3,moving_average,14
7,7,0.304220058881709,ahc,average,arithmetic,3,moving_average,14
8,4,0.16388303251489472,ahc,complete,arithmetic,3,moving_average,14
9,5,0.15647930367803414,ahc,complete,arithmetic,3,moving_average,14
10,6,0.17281959846336542,ahc,complete,arithmetic,3,moving_average,14
11,7,0.14952585935442567,ahc,complete,arithmetic,3,moving_average,14
