,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.25955816281564814,ahc,single,arithmetic,3,moving_average,3
1,5,0.1797930229229947,ahc,single,arithmetic,3,moving_average,3
2,6,0.17265498998585826,ahc,single,arithmetic,3,moving_average,3
3,7,0.16045627646693317,ahc,single,arithmetic,3,moving_average,3
4,4,0.21592836181209826,ahc,average,arithmetic,3,moving_average,3
5,5,0.21007584812526173,ahc,average,arithmetic,3,moving_average,3
6,6,0.1773360477302498,ahc,average,arithmetic,3,moving_average,3
7,7,0.1701260100591041,ahc,average,arithmetic,3,moving_average,3
8,4,0.2626087649305,ahc,complete,arithmetic,3,moving_average,3
9,5,0.1498672181054189,ahc,complete,arithmetic,3,moving_average,3
10,6,0.14736896434199673,ahc,complete,arithmetic,3,moving_average,3
11,7,0.1483131382261197,ahc,complete,arithmetic,3,moving_average,3
