,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.2510117985869057,ahc,single,arithmetic,3,moving_average,3
1,5,0.2451727370618617,ahc,single,arithmetic,3,moving_average,3
2,6,0.20387547846350815,ahc,single,arithmetic,3,moving_average,3
3,7,0.15867178994234357,ahc,single,arithmetic,3,moving_average,3
4,4,0.26913164122351946,ahc,average,arithmetic,3,moving_average,3
5,5,0.2612125016089828,ahc,average,arithmetic,3,moving_average,3
6,6,0.2543061908793016,ahc,average,arithmetic,3,moving_average,3
7,7,0.19046752522066612,ahc,average,arithmetic,3,moving_average,3
8,4,0.19096864292874613,ahc,complete,arithmetic,3,moving_average,3
9,5,0.18941991342941994,ahc,complete,arithmetic,3,moving_average,3
10,6,0.16291304062918283,ahc,complete,arithmetic,3,moving_average,3
11,7,0.16698532942121616,ahc,complete,arithmetic,3,moving_average,3
