,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.3811441895655015,ahc,single,arithmetic,3,moving_average,10
1,5,0.3314750828102391,ahc,single,arithmetic,3,moving_average,10
2,6,0.3315745594291597,ahc,single,arithmetic,3,moving_average,10
3,7,0.23278366628313493,ahc,single,arithmetic,3,moving_average,10
4,4,0.27785113638232933,ahc,average,arithmetic,3,moving_average,10
5,5,0.1936263699262455,ahc,average,arithmetic,3,moving_average,10
6,6,0.14310138698727032,ahc,average,arithmetic,3,moving_average,10
7,7,0.11029925233213246,ahc,average,arithmetic,3,moving_average,10
8,4,0.12920590842910243,ahc,complete,arithmetic,3,moving_average,10
9,5,0.12107834390948083,ahc,complete,arithmetic,3,moving_average,10
10,6,0.1242490018906888,ahc,complete,arithmetic,3,moving_average,10
11,7,0.09669857432037936,ahc,complete,arithmetic,3,moving_average,10
