,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.339181154356728,ahc,single,arithmetic,3,moving_average,21
1,5,0.29813587886646453,ahc,single,arithmetic,3,moving_average,21
2,6,0.1942495715344008,ahc,single,arithmetic,3,moving_average,21
3,7,0.030982467527063292,ahc,single,arithmetic,3,moving_average,21
4,4,0.29222272381702247,ahc,average,arithmetic,3,moving_average,21
5,5,0.24157452336238977,ahc,average,arithmetic,3,moving_average,21
6,6,0.18205452962456375,ahc,average,arithmetic,3,moving_average,21
7,7,0.12137863428280794,ahc,average,arithmetic,3,moving_average,21
8,4,0.1752370407594676,ahc,complete,arithmetic,3,moving_average,21
9,5,0.16984065707922424,ahc,complete,arithmetic,3,moving_average,21
10,6,0.08612603729945027,ahc,complete,arithmetic,3,moving_average,21
11,7,0.09599223375587766,ahc,complete,arithmetic,3,moving_average,21
