,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.2956803551910032,ahc,single,arithmetic,3,moving_average,7
1,5,0.29337986649474856,ahc,single,arithmetic,3,moving_average,7
2,6,0.20264301344549968,ahc,single,arithmetic,3,moving_average,7
3,7,0.1448864440485186,ahc,single,arithmetic,3,moving_average,7
4,4,0.33595628912028846,ahc,average,arithmetic,3,moving_average,7
5,5,0.26857764757151564,ahc,average,arithmetic,3,moving_average,7
6,6,0.23220087194562636,ahc,average,arithmetic,3,moving_average,7
7,7,0.23108549730767478,ahc,average,arithmetic,3,moving_average,7
8,4,0.3625168980206937,ahc,complete,arithmetic,3,moving_average,7
9,5,0.27707330400624225,ahc,complete,arithmetic,3,moving_average,7
10,6,0.2304376125932733,ahc,complete,arithmetic,3,moving_average,7
11,7,0.1704191312828735,ahc,complete,arithmetic,3,moving_average,7
