,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.30982627564185594,ahc,single,arithmetic,3,moving_average,7
1,5,0.30589854545918294,ahc,single,arithmetic,3,moving_average,7
2,6,0.3029527714993784,ahc,single,arithmetic,3,moving_average,7
3,7,0.19963400173087303,ahc,single,arithmetic,3,moving_average,7
4,4,0.30852989656681534,ahc,average,arithmetic,3,moving_average,7
5,5,0.2513505779873225,ahc,average,arithmetic,3,moving_average,7
6,6,0.24834055914128356,ahc,average,arithmetic,3,moving_average,7
7,7,0.22152762579902394,ahc,average,arithmetic,3,moving_average,7
8,4,0.30463345197523545,ahc,complete,arithmetic,3,moving_average,7
9,5,0.2513505779873225,ahc,complete,arithmetic,3,moving_average,7
10,6,0.2239545365508609,ahc,complete,arithmetic,3,moving_average,7
11,7,0.22152762579902394,ahc,complete,arithmetic,3,moving_average,7
