,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.24287209106491328,ahc,single,arithmetic,3,moving_average,10
1,5,0.1771826802340855,ahc,single,arithmetic,3,moving_average,10
2,6,0.05625137539159771,ahc,single,arithmetic,3,moving_average,10
3,7,-0.022095183043715824,ahc,single,arithmetic,3,moving_average,10
4,4,0.20019803509941958,ahc,average,arithmetic,3,moving_average,10
5,5,0.19450332937308093,ahc,average,arithmetic,3,moving_average,10
6,6,0.18852079151703222,ahc,average,arithmetic,3,moving_average,10
7,7,0.16447584422772374,ahc,average,arithmetic,3,moving_average,10
8,4,0.12121528814951117,ahc,complete,arithmetic,3,moving_average,10
9,5,0.11494847879192634,ahc,complete,arithmetic,3,moving_average,10
10,6,0.10941064359993329,ahc,complete,arithmetic,3,moving_average,10
11,7,0.1098922780622448,ahc,complete,arithmetic,3,moving_average,10
