Unnamed: 0,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,ari_mean,nmi_mean,ari_norm,nmi_norm,stability_score,renormalized_silhouette,renormalized_inertia,renormalized_stability,final_score,layer_v_measure
0,2,0.1676272700746212,kshape,not_applicable,geometric,1,weekly,0.0416250097018786,0.7121,0.6124943413260071,0.7121,0.4719682546768925,0.4186103032027228,0.9471967618516188,0.9082959199657423,0.9277463409086806,0.3110129080444637,0.032626445157952544,0.011603784538337658,0.11841437924691796,0.290181060135388
19,3,0.1654496370507179,kshape,not_applicable,geometric,7,weekly,0.0203368093230102,1.3413,0.6087060926971399,0.8462660784653959,0.2467389764247155,0.294956526917115,0.47771455125463685,0.6009662243765979,0.5393403878156173,0.30041313923004576,0.6698471336076801,0.42540113104573973,0.4652204679611552,0.20271133225949647
24,2,0.2210135170697423,kshape,not_applicable,geometric,7,3day,0.034803939470674,0.6594,0.7053659936015253,0.6594,0.3916894157878223,0.3253454497856051,0.7798584520267265,0.676495000731017,0.7281767263788718,0.5708738992244121,0.23680185648143337,0.22421993081082603,0.3439652288388905,0.205499154254596
32,4,0.1067296466376229,kshape,not_applicable,geometric,7,full,0.0303328600530127,1.2811,0.506555766757107,0.64055,0.3717507073784922,0.451247457055714,0.7382969420263257,0.9894124605181986,0.8638547012722622,0.014589808883965327,0.3706348838830189,0.07967223388886147,0.15496564221861522,0.23629159966152663
37,3,0.2579876911112593,kshape,not_applicable,geometric,10,weekly,0.0194149241512064,1.3146,0.7696869157122718,0.8294202540450379,0.2681859277779831,0.3047374955122367,0.5224199386271627,0.6252758911833981,0.5738479149052804,0.7508480696388752,0.697441965176042,0.3886377317452827,0.6123092555200667,0.20109165535857
38,4,0.1325038371515562,kshape,not_applicable,geometric,10,weekly,0.018317149294729,1.8163,0.5513930009479976,0.90815,0.203312432055621,0.3117410422095749,0.38719350440315653,0.6426825401284801,0.5149380222658183,0.1400473390681648,0.7303017108265812,0.45139876067164575,0.4405826035221306,0.2413183351857339
40,6,0.114960594121463,kshape,not_applicable,geometric,10,weekly,0.0127811646292738,2.0598,0.520874467464559,0.7968394123417089,0.1998040956375636,0.4193703037470337,0.37988050517921323,0.9101848290063459,0.6450326670927795,0.054654475195801466,0.8960105963587839,0.31279939473628127,0.4211548220969556,0.3616359543466081
46,6,0.1049734855058348,kshape,not_applicable,geometric,10,3day,0.0235758552078132,2.0193,0.5035007180291806,0.7811718736487098,0.2241038033847869,0.4140291146487965,0.43053235914135113,0.8969098117043763,0.6637210854228637,0.00604158161449897,0.5728926230383775,0.29288925212949124,0.2906078189274559,0.3451342432001331
49,3,0.1096496754800849,kshape,not_applicable,geometric,10,full,0.0318045199313606,1.0383,0.511635500182017,0.6550943631332443,0.3683153659662063,0.3594356469354822,0.7311360982279028,0.7612229421441986,0.7461795201860507,0.028803237097893897,0.3265836205467547,0.20504023429019713,0.18680903064494858,0.2813240379954135
55,3,0.2938387724710438,kshape,not_applicable,geometric,14,weekly,0.0195385076727202,1.3672,0.8320540860820396,0.8626071590828966,0.2271177255228331,0.2481907477838246,0.4368147698426492,0.4847343299957375,0.46077454991919337,0.9253555141849953,0.6937427338996287,0.5091030799699916,0.7094004426848719,0.1866508490488603
56,4,0.2125264673137114,kshape,not_applicable,geometric,14,weekly,0.0164019137018843,1.5414,0.6906017728864193,0.7707,0.1925333257773958,0.3080251283185002,0.36472485075815886,0.6334469897127637,0.4990859202354613,0.5295626386295761,0.7876305465804654,0.46828716751631283,0.5951601175754515,0.221377799539023
57,5,0.1213047639970781,kshape,not_applicable,geometric,14,weekly,0.0147734833563666,1.8136,0.5319108967291745,0.7810750057219057,0.1822116948011353,0.3464947912961811,0.3432097876841856,0.7290596767449812,0.5361347322145834,0.08553513013755032,0.8363744275753687,0.42881635105192384,0.45024196958828094,0.2532002379310557
58,6,0.2180272645637195,kshape,not_applicable,geometric,14,weekly,0.0113176550703988,2.0598,0.7001710563291677,0.7968394123417089,0.1743232588969093,0.4061401171586912,0.3267666309365001,0.8773024590624516,0.6020345449994758,0.5563381230684369,0.9398178958045746,0.35860844757216104,0.6182548221483909,0.29721838550425417
59,7,0.1107513921780173,kshape,not_applicable,geometric,14,weekly,0.0093070977916465,2.3572,0.5135520658863988,0.8396515814510299,0.1753694158269637,0.4555073423101735,0.32894730687687834,1.0,0.6644736534384392,0.03416591399013502,1.0,0.29208748623112746,0.44208446674042073,0.31298237747389934
61,3,0.1370087790114705,kshape,not_applicable,geometric,14,3day,0.0216152158239415,1.3815,0.559229876875493,0.8716294545589685,0.2505102323031968,0.2761882829622256,0.4855755964983813,0.5543195397814076,0.5199475681398944,0.16197543333994147,0.6315805325731143,0.44606172406499234,0.4132058966593493,0.20568999321025289
66,2,0.1795420417714753,kshape,not_applicable,geometric,14,full,0.0341713837778376,0.7121,0.6332214872906512,0.7121,0.49730006693537,0.4061295479291037,1.0000000000000002,0.8772761902479496,0.9386380951239749,0.36900882566553683,0.25573617534814774,0.0,0.2082483336712282,0.290181060135388
72,2,0.2711730742585433,kshape,not_applicable,geometric,30,weekly,0.0391371255629384,0.7121,0.7926244396570801,0.7121,0.0175603171250821,0.0531584054507979,0.0,0.0,0.0,0.8150287702236857,0.10709639637901969,1.0,0.6407083888675684,0.01827980732880217
