Unnamed: 0,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,ari_mean,nmi_mean,ari_norm,nmi_norm,stability_score,renormalized_silhouette,renormalized_inertia,renormalized_stability,final_score,exchange_v_measure,sector_v_measure,market_v_measure,region_v_measure
21,5,0.1583679485909457,kshape,not_applicable,geometric,1,full,0.2055304480120889,2.1837,0.9992736941775928,0.9404683998648684,0.8028011476726098,0.7948099724752565,0.9472641149891972,0.9409686640622903,0.9441163895257437,0.9984653618728692,0.37793549089114475,0.05588361047425627,0.4774281544127567,0.5621953834470941,0.24096899337613487,0.6075505533934825,0.5729660498087504
22,6,0.1479958914282822,kshape,not_applicable,geometric,1,full,0.1955946757661963,2.4013,0.9742691682249404,0.9289496460123048,0.6640537314770993,0.6663886777020132,0.7767904352334798,0.7835521698573312,0.7801713025454056,0.9456323847798431,0.41427005173658005,0.21982869745459444,0.5265770446570058,0.5735796458657689,0.27562107212049153,0.6063141216116649,0.5504709411508323
25,9,0.1569849014901252,kshape,not_applicable,geometric,1,full,0.172015467377678,2.8237,0.9959395014920092,0.8907781725798622,0.8457225405616318,0.8429680808844334,1.0,1.0,1.0,0.9914204242437883,0.5004978919765763,0.0,0.4973061054067882,0.5843632485771665,0.3077211384020776,0.6031708559708456,0.5293401457752237
26,10,0.1334239540330476,kshape,not_applicable,geometric,1,full,0.1667120198635153,3.0231,0.9391397449036748,0.9100437798917816,0.6377535778096268,0.7220543820531189,0.7444764354720923,0.851786180749943,0.7981313081110176,0.8714061418533399,0.5198923015529008,0.20186869188898238,0.5310557117650743,0.588119312973298,0.3299951227862618,0.6027922998045575,0.49827644834463036
20,4,0.139017912983354,kshape,not_applicable,geometric,1,full,0.2330429069931536,1.9199,0.9526254295231656,0.95995,0.6833411430201464,0.6727237698256072,0.8004881451358608,0.7913176108951473,0.795902878015504,0.8999005379452498,0.2773239742303949,0.20409712198449603,0.460440544720047,0.5413436580161962,0.19479443617379547,0.5897597804829195,0.5585748962212915
23,7,0.1586692254686537,kshape,not_applicable,geometric,1,full,0.1884694621534645,2.5551,1.0,0.9101449837797074,0.6541609614909422,0.7311990336936111,0.7646355645428378,0.8629955288920381,0.8138155467174379,1.0,0.4403265575764308,0.18618445328256206,0.5421703369529977,0.5405251508624982,0.2976471962946707,0.5686328685405719,0.5049040864394814
19,3,0.1332211922242039,kshape,not_applicable,geometric,1,full,0.257678904434037,1.5071,0.9386509351302684,0.9508742316075436,0.7830823773396345,0.7289498495598619,0.9230364109274263,0.860238519769981,0.8916374653487036,0.8703733178113993,0.18723151580333985,0.10836253465129642,0.3886557894220118,0.4953462511195831,0.15085964127189802,0.5513192064366914,0.5349772999442848
24,8,0.1357401422256559,kshape,not_applicable,geometric,1,full,0.1864563254043562,2.73,0.9447235154966273,0.91,0.5859504846931176,0.6914775028065552,0.6808279427761603,0.8143055966830918,0.747566769729626,0.8832042948912651,0.44768848555650265,0.252433230270374,0.5277753369060473,0.5313089487979302,0.2991089471495458,0.5240314170424436,0.4482551803309226
12,5,0.1352193775601204,kshape,not_applicable,geometric,1,3day,0.2100588079868043,2.0387,0.9434680776032188,0.8780202989442265,0.7652287829225157,0.7395192702825468,0.901100377662031,0.873194324014753,0.887147350838392,0.8805516342653541,0.3613755328970041,0.11285264916160798,0.4515932721079887,0.4655081929442725,0.2359062107129082,0.4958553905834731,0.4118703410437453
13,6,0.1464681270344485,kshape,not_applicable,geometric,1,3day,0.1970372640150795,2.4655,0.9705860970813812,0.9537855962367624,0.5509269124185139,0.5933924835898259,0.637795809944016,0.6940747589050837,0.6659352844245499,0.9378502891013201,0.4089945875646205,0.33406471557545014,0.560303197413797,0.4666907463260897,0.2759183737184846,0.4853729713253011,0.41457945936186735
17,10,0.1217140042769175,kshape,not_applicable,geometric,1,3day,0.1651383556262135,3.0539,0.9109098828821452,0.9193155037582322,0.5644631453073901,0.6888001988974578,0.6544272651009571,0.8110238061043913,0.7327255356026742,0.8117582342566529,0.5256471032497859,0.26727446439732583,0.5348932673012549,0.4908974275363464,0.3674104781145814,0.47509713667568376,0.3649642800800618
11,4,0.1310846668802215,kshape,not_applicable,geometric,1,3day,0.2299257253401344,1.8671,0.933500288293842,0.93355,0.5115342598260417,0.5213711706055024,0.5893955540912181,0.6057923395598427,0.5975939468255305,0.8594903277943733,0.2887233323914803,0.40240605317446954,0.5168732377867744,0.44497747768866786,0.22367958885711822,0.46717599432088935,0.3922519091014814
14,7,0.1386319843704558,kshape,not_applicable,geometric,1,3day,0.1856246754027296,2.539,0.9516950488025672,0.9044100480672684,0.540173701976566,0.6124602338077292,0.624583748750434,0.7174476613273661,0.6710157050389001,0.8979347025044087,0.45072978288482046,0.32898429496109993,0.5592162601167764,0.47640873915933557,0.29597644185853444,0.4630997825438654,0.37628892968044636
16,9,0.112755031654804,kshape,not_applicable,geometric,1,3day,0.1756129621104085,2.8676,0.8893119626310757,0.9046270806707556,0.5333278113130482,0.630370702409862,0.6161724629433478,0.7394019889324105,0.6777872259378792,0.7661231989017552,0.48734205587017154,0.3222127740621208,0.5252260096113491,0.46951289198668533,0.3384722517782601,0.46220669416780596,0.36674909939477374
15,8,0.1107960362663125,kshape,not_applicable,geometric,1,3day,0.1816290651615207,2.722,0.8845892976607177,0.9073333333333332,0.5458280130495642,0.6180667291605428,0.6315309859785438,0.724320001656707,0.6779254938176253,0.7561445074172843,0.4653415050369527,0.32207450618237465,0.5145201728788705,0.471518765037973,0.32957420320755704,0.45520096760793505,0.35223961163878004
