,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
571,7,0.1546601954245034,kmeans,not_applicable,geometric,10,weekly,10.0,0.0811,0.2162,0.1351,0.5193719285009246,0.891004734350342,0.7051883314256333
572,4,0.1110906379220817,kmeans,not_applicable,geometric,14,3day,,,,,0.47399278287360236,,
573,5,0.1576177147769296,kmeans,not_applicable,geometric,14,3day,14.0,0.036,0.3153,0.2793,0.5224522834341119,0.73929510783798,0.6308736956360459
574,6,0.1299097473319343,kmeans,not_applicable,geometric,14,3day,14.0,0.027,0.3739,0.3468,0.4935935122690924,0.6682798527091005,0.5809366824890965
575,7,0.1192702302051981,kmeans,not_applicable,geometric,14,3day,14.0,0.027,0.2568,0.2297,0.4825121007337167,0.7914781693845345,0.6369951350591256
576,4,0.0452878629014106,kmeans,not_applicable,geometric,14,full,,,,,0.4054570005173325,,
577,5,0.0533949204074964,kmeans,not_applicable,geometric,14,full,14.0,0.045,0.3378,0.2928,0.4139007709907254,0.7250920568122041,0.5694964139014648
578,6,0.0295548887841969,kmeans,not_applicable,geometric,14,full,14.0,0.036,0.5135,0.4775,0.38907058384150905,0.5307732772225144,0.45992193053201175
579,7,0.0337746820638953,kmeans,not_applicable,geometric,14,full,14.0,0.027,0.2748,0.2477,0.3934656391217006,0.7725407680168332,0.5830032035692669
580,4,0.2283692184579675,kmeans,not_applicable,geometric,14,weekly,14.0,0.036,0.4595,0.4234,0.5961423315534987,0.5876906891109942,0.5919165103322465
581,5,0.2190976595166817,kmeans,not_applicable,geometric,14,weekly,14.0,0.1396,0.2568,0.1171,0.5864856940408151,0.9099421357180432,0.7482139148794291
582,6,0.1346801839518228,kmeans,not_applicable,geometric,14,weekly,14.0,0.1532,0.2027,0.0495,0.4985620809323798,0.9810625986322988,0.7398123397823393
583,7,0.1675930253706403,kmeans,not_applicable,geometric,14,weekly,14.0,0.0811,0.1892,0.1081,0.5328419017377775,0.9194108364018938,0.7261263690698356
584,4,0.1344543627215099,kmeans,not_applicable,geometric,21,3day,,,,,0.4983268805979366,,
585,5,0.1946550093538875,kmeans,not_applicable,geometric,21,3day,21.0,0.036,0.2883,0.2523,0.5610278596069107,0.7677012098895317,0.6643645347482212
586,6,0.0902161930790453,kmeans,not_applicable,geometric,21,3day,,,,,0.45225135315242593,,
587,7,0.1072501822316592,kmeans,not_applicable,geometric,21,3day,,,,,0.4699928203300012,,
588,4,0.0645799684239933,kmeans,not_applicable,geometric,21,full,,,,,0.42555037112175714,,
