Distribution Model for Simulation/Out of Sample,Time Horizon,Portfolio Set,Original Portfolios,Reweighing Method,Cryptos,Clustering method,annualised_return,mean_period_return,sharpe_annualized,sharpe_period,VaR
multivar_t,252,random_w_cryptos_kmeans_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kmeans,0.490755922,0.48819779,2.090775854,2.084036871,2.06107914
multivar_t,252,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.485644041,0.483119246,2.084901871,2.078204663,2.044587918
multivar_t,252,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.486361673,0.483831987,2.085934286,2.079230622,2.045472723
multivar_t,252,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.372985177,0.371206749,2.501049119,2.493851623,1.240087981
multivar_t,252,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.373017213,0.371238599,2.501067681,2.493869963,1.240192676
multivar_t,252,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.350817158,0.349159263,2.459677138,2.452699793,1.174967009
Out of Sample,126,rand_ports_equalw,Random Portfolios,equalw,Normal,No,0.432278004,0.194342011,3.231519482,2.035475117,1.011586181
Out of Sample,126,minvar_ports_equalw,Minimum Variance,equalw,Normal,No,0.252643647,0.118499616,2.906829331,1.907021205,0.629202765
Out of Sample,126,random_w_cryptos_random_equalw,Random Portfolios,equalw,Cryptos,random,0.407659189,0.18346259,2.087858058,1.315063098,1.452668043
Out of Sample,126,minvar_w_cryptos_random_equalw,Minimum Variance,equalw,Cryptos,random,0.261018264,0.12111173,1.519323791,0.984968261,1.164154442
Out of Sample,126,random_w_cryptos_kmeans_equalw,Random Portfolios,equalw,Cryptos,kmeans,0.461023042,0.207012484,2.216967186,1.393270826,1.558925593
Out of Sample,126,random_w_cryptos_kshape_equalw,Random Portfolios,equalw,Cryptos,kshape,0.492720171,0.220100338,2.405362619,1.504222017,1.548054732
Out of Sample,126,random_w_cryptos_ahc_equalw,Random Portfolios,equalw,Cryptos,ahc,0.451284928,0.202863445,2.234601774,1.406001722,1.516150983
Out of Sample,126,minvar_w_cryptos_kmeans_equalw,Minimum Variance,equalw,Cryptos,kmeans,0.308582612,0.143425092,1.629993524,1.059492474,1.331188302
Out of Sample,126,minvar_w_cryptos_kshape_equalw,Minimum Variance,equalw,Cryptos,kshape,0.308650298,0.143454789,1.628965734,1.058827699,1.331538477
Out of Sample,126,minvar_w_cryptos_ahc_equalw,Minimum Variance,equalw,Cryptos,ahc,0.237320193,0.111412448,1.414101414,0.927558848,1.187414789
Out of Sample,189,rand_ports_equalw,Random Portfolios,equalw,Normal,No,0.350002793,0.251397156,2.150968939,1.774691404,1.244297812
Out of Sample,189,minvar_ports_equalw,Minimum Variance,equalw,Normal,No,0.273069134,0.198083542,2.497052977,2.08026661,0.728854107
Out of Sample,189,random_w_cryptos_kshape_equalw,Random Portfolios,equalw,Cryptos,random,0.386163615,0.27677922,1.755103153,1.445070433,1.64929832
Out of Sample,189,minvar_w_cryptos_kshape_equalw,Minimum Variance,equalw,Cryptos,random,0.317769238,0.229630911,1.64400987,1.364470432,1.299226937
Out of Sample,189,random_w_cryptos_kmeans_equalw,Random Portfolios,equalw,Cryptos,ahc,0.371201986,0.26641774,1.665044843,1.372725102,1.653019317
Out of Sample,189,random_w_cryptos_ahc_equalw,Random Portfolios,equalw,Cryptos,kmeans,0.35709407,0.256626509,1.639640831,1.353493989,1.621349255
Out of Sample,189,random_w_cryptos_random_equalw,Random Portfolios,equalw,Cryptos,kshape,0.316050753,0.227574582,1.422771433,1.176335898,1.62280823
Out of Sample,189,minvar_w_cryptos_kmeans_equalw,Minimum Variance,equalw,Cryptos,ahc,0.317508235,0.229451203,1.643910064,1.364430164,1.299158136
Out of Sample,189,minvar_w_cryptos_ahc_equalw,Minimum Variance,equalw,Cryptos,kmeans,0.253505313,0.18425971,1.425311265,1.189409286,1.185107337
Out of Sample,189,minvar_w_cryptos_random_equalw,Minimum Variance,equalw,Cryptos,kshape,0.254980923,0.184931953,1.355120673,1.128252699,1.200975204
Out of Sample,252,rand_ports_equalw,Random Portfolios,equalw,Normal,No,0.294782812,0.294782812,1.780326628,1.780326628,1.275446355
Out of Sample,252,minvar_ports_equalw,Minimum Variance,equalw,Normal,No,0.20256291,0.20256291,1.753171201,1.753171201,0.791178589
Out of Sample,252,random_w_cryptos_random_equalw,Random Portfolios,equalw,Cryptos,random,0.399019247,0.399019247,1.786711688,1.786711688,1.730219236
Out of Sample,252,minvar_w_cryptos_random_equalw,Minimum Variance,equalw,Cryptos,random,0.317453017,0.317453017,1.648893653,1.648893653,1.323187911
Out of Sample,252,random_w_cryptos_kmeans_equalw,Random Portfolios,equalw,Cryptos,kmeans,0.325522024,0.325522024,1.471845047,1.471845047,1.704438496
Out of Sample,252,random_w_cryptos_kshape_equalw,Random Portfolios,equalw,Cryptos,kshape,0.384550181,0.384550181,1.767316473,1.767316473,1.66726481
Out of Sample,252,random_w_cryptos_ahc_equalw,Random Portfolios,equalw,Cryptos,ahc,0.334166594,0.334166594,1.554508178,1.554508178,1.672206184
Out of Sample,252,minvar_w_cryptos_kmeans_equalw,Minimum Variance,equalw,Cryptos,kmeans,0.246379672,0.246379672,1.253759786,1.253759786,1.380907391
Out of Sample,252,minvar_w_cryptos_kshape_equalw,Minimum Variance,equalw,Cryptos,kshape,0.246530308,0.246530308,1.253519117,1.253519117,1.381063627
Out of Sample,252,minvar_w_cryptos_ahc_equalw,Minimum Variance,equalw,Cryptos,ahc,0.281228683,0.281228683,1.568912292,1.568912292,1.264857337
Out of Sample,126,rand_ports_maxsharpe,Random Portfolios,maxsharpe,Normal,No,0.569016374,0.248033296,3.963668774,2.437139603,1.060574064
Out of Sample,126,minvar_ports_maxsharpe,Minimum Variance,maxsharpe,Normal,No,0.395937262,0.180569142,4.410640615,2.816861382,0.655839903
Out of Sample,126,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,random,0.585533249,0.252860697,3.26767512,1.986550116,1.480012259
Out of Sample,126,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,random,0.451981237,0.203640863,3.843450897,2.426348272,0.866874536
Out of Sample,126,random_w_cryptos_kmeans_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.573578159,0.248077924,3.183680084,1.938349498,1.489975815
Out of Sample,126,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kmeans,0.567611592,0.245750675,3.181149483,1.939121547,1.475919798
Out of Sample,126,random_w_cryptos_random_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.627385749,0.269296662,3.642193278,2.208518625,1.31179302
Out of Sample,126,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.451906683,0.203609978,3.84363291,2.426492817,0.866744994
Out of Sample,126,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.409525919,0.185854095,3.774733194,2.399820104,0.810875808
Out of Sample,126,minvar_w_cryptos_random_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.439960256,0.198339078,3.907764082,2.470113647,0.840369837
Out of Sample,189,rand_ports_maxsharpe,Random Portfolios,maxsharpe,Normal,No,0.414414836,0.294650758,2.275614711,1.863133786,1.323726116
Out of Sample,189,minvar_ports_maxsharpe,Minimum Variance,maxsharpe,Normal,No,0.288359228,0.208884374,1.847872973,1.537194585,0.871481848
Out of Sample,189,random_w_cryptos_random_maxsharpe,Random Portfolios,maxsharpe,Cryptos,random,0.443675553,0.313317837,2.023312569,1.647422148,1.580347689
Out of Sample,189,minvar_w_cryptos_random_maxsharpe,Minimum Variance,maxsharpe,Cryptos,random,0.294015004,0.212481846,1.493020643,1.238801996,1.032705583
Out of Sample,189,random_w_cryptos_kmeans_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kmeans,0.41887264,0.296809928,1.855194329,1.513133431,1.703004194
Out of Sample,189,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.423973281,0.300354067,1.889569428,1.54086395,1.693980165
Out of Sample,189,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.412636832,0.292564579,1.840242274,1.501858452,1.690432733
Out of Sample,189,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.313308152,0.226162381,1.620335356,1.343140464,1.021846768
Out of Sample,189,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.313444327,0.226255989,1.620805876,1.343503587,1.021943432
Out of Sample,189,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.284163674,0.205739568,1.50472328,1.250915965,0.994354184
Out of Sample,252,rand_ports_maxsharpe,Random Portfolios,maxsharpe,Normal,No,0.336600041,0.336600041,1.803941739,1.803941739,1.356591509
Out of Sample,252,minvar_ports_maxsharpe,Minimum Variance,maxsharpe,Normal,No,0.225510554,0.225510554,1.456306627,1.456306627,0.911909545
Out of Sample,252,random_w_cryptos_random_maxsharpe,Random Portfolios,maxsharpe,Cryptos,random,0.411532118,0.411532118,1.870404489,1.870404489,1.623890495
Out of Sample,252,minvar_w_cryptos_random_maxsharpe,Minimum Variance,maxsharpe,Cryptos,random,0.275038523,0.275038523,1.443787483,1.443787483,1.134377227
Out of Sample,252,random_w_cryptos_kmeans_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kmeans,0.355687825,0.355687825,1.55197811,1.55197811,1.75009488
Out of Sample,252,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.376704032,0.376704032,1.660434134,1.660434134,1.731780242
Out of Sample,252,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.3582083,0.3582083,1.579917816,1.579917816,1.735587019
Out of Sample,252,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.246505637,0.246505637,1.292252948,1.292252948,1.106627869
Out of Sample,252,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.246593611,0.246593611,1.292563868,1.292563868,1.106788759
Out of Sample,252,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.25501892,0.25501892,1.394292399,1.394292399,1.085789362
