,Correlation Type,Count,Mean,Median,Std Dev,Min,Max,25th Percentile,75th Percentile
0,Stock-Stock,14878,0.13499565471452585,0.09221262705203853,0.14838203725965537,-0.17776597935762545,0.9518628411238759,0.033825315005533624,0.2012546608828195
1,Crypto-Crypto,820,0.6176745880619123,0.6206822959785583,0.09198019865382934,0.3486490917126839,0.8756247826713986,0.5548321052334311,0.6842629494823
2,Stock-Crypto,7093,0.12400812393720538,0.11289790634838327,0.0932297701754042,-0.10365600991067664,0.4165737235692017,0.05229545820617938,0.19023060564798872
