,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
0,4,0.4508489054147135,ahc,single,arithmetic,10,3day,10.0,0.0045,0.9685,0.964,0.8278623372701068,0.01893740136770128,0.42339986931890405
1,5,0.3661156385010009,ahc,single,arithmetic,10,3day,10.0,0.0045,0.955,0.9505,0.7396098169514782,0.03314045239347707,0.38637513467247764
2,6,0.217847089261594,ahc,single,arithmetic,10,3day,10.0,0.0045,0.9505,0.9459,0.5851831834582903,0.037980010520778484,0.3115815969895344
3,7,0.186289615137412,ahc,single,arithmetic,10,3day,10.0,0.0045,0.9459,0.9414,0.5523150228433447,0.04271436086270375,0.2975146918530242
4,4,0.4365537229360789,ahc,average,arithmetic,10,3day,10.0,0.0045,0.955,0.9505,0.8129734284848604,0.03314045239347707,0.42305694043916875
5,5,0.2804455232846186,ahc,average,arithmetic,10,3day,10.0,0.0045,0.9505,0.9459,0.6503815379151899,0.037980010520778484,0.3441807742179842
6,6,0.2575449002813026,ahc,average,arithmetic,10,3day,10.0,0.0045,0.9189,0.9144,0.6265297761394106,0.07112046291425556,0.3488251195268331
7,7,0.1399040408438227,ahc,average,arithmetic,10,3day,10.0,0.0045,0.9189,0.9144,0.5040029019144423,0.07112046291425556,0.28756168241434893
8,4,0.1585828170255744,ahc,complete,arithmetic,10,3day,10.0,0.0135,0.9279,0.9144,0.5234574695777645,0.07112046291425556,0.29728896624601003
9,5,0.1316680858425258,ahc,complete,arithmetic,10,3day,10.0,0.0135,0.5766,0.5631,0.49542488040565946,0.4407154129405575,0.4680701466731085
10,6,0.1070231657448115,ahc,complete,arithmetic,10,3day,10.0,0.009,0.5766,0.5676,0.46975637509605794,0.43598106259863223,0.4528687188473451
11,7,0.101250193885288,ahc,complete,arithmetic,10,3day,10.0,0.0045,0.5766,0.5721,0.46374363258194845,0.43124671225670685,0.4474951724193277
12,4,0.3655736619360911,ahc,single,arithmetic,10,full,10.0,0.0045,0.955,0.9505,0.7390453303035642,0.03314045239347707,0.38609289134852065
13,5,0.3226674619850549,ahc,single,arithmetic,10,full,10.0,0.0045,0.9505,0.9459,0.6943570936652909,0.037980010520778484,0.36616855209303467
14,6,0.1029396254829236,ahc,single,arithmetic,10,full,10.0,0.0045,0.9459,0.9414,0.46550323187308756,0.04271436086270375,0.25410879636789563
15,7,0.0930548485726448,ahc,single,arithmetic,10,full,10.0,0.0045,0.9414,0.9369,0.4552079074167811,0.047448711204629124,0.2513283093107051
16,4,0.3655736619360911,ahc,average,arithmetic,10,full,10.0,0.018,0.9279,0.9099,0.7390453303035642,0.07585481325618082,0.4074500717798725
17,5,0.2271316698050521,ahc,average,arithmetic,10,full,10.0,0.0045,0.9279,0.9234,0.5948533834034417,0.06165176223040503,0.3282525728169234
18,6,0.2046808394198284,ahc,average,arithmetic,10,full,10.0,0.0045,0.9279,0.9234,0.5714700956239239,0.06165176223040503,0.3165609289271645
19,7,0.1389332601044438,ahc,average,arithmetic,10,full,10.0,0.0045,0.9234,0.9189,0.5029918014335153,0.06638611257233018,0.28468895700292274
20,4,0.2878956433143405,ahc,complete,arithmetic,10,full,10.0,0.018,0.9279,0.9099,0.6581410861215491,0.07585481325618082,0.36699794968886496
21,5,0.1298056536657069,ahc,complete,arithmetic,10,full,10.0,0.018,0.5676,0.5495,0.49348509524791073,0.45502367175170955,0.47425438349981014
22,6,0.1298215428502547,ahc,complete,arithmetic,10,full,10.0,0.0045,0.5676,0.5631,0.4935016443629541,0.4407154129405575,0.4671085286517558
23,7,0.1302230442392057,ahc,complete,arithmetic,10,full,10.0,0.0045,0.5,0.4955,0.49391982143527724,0.5118358758548132,0.5028778486450451
24,4,0.3351756112597437,ahc,single,arithmetic,10,weekly,10.0,0.0045,0.9685,0.964,0.7073847478348986,0.01893740136770128,0.3631610746012999
25,5,0.2475672417407687,ahc,single,arithmetic,10,weekly,10.0,0.0045,0.955,0.9505,0.6161377123709085,0.03314045239347707,0.3246390823821928
26,6,0.1455690444301924,ahc,single,arithmetic,10,weekly,10.0,0.0045,0.9505,0.9459,0.5099031918751765,0.037980010520778484,0.2739416011979775
27,7,0.1382682852708829,ahc,single,arithmetic,10,weekly,10.0,0.0045,0.9324,0.9279,0.5022992079912021,0.05691741188847976,0.2796083099398409
28,4,0.3351756112597437,ahc,average,arithmetic,10,weekly,10.0,0.0045,0.9505,0.9459,0.7073847478348986,0.037980010520778484,0.37268237917783853
29,5,0.2202397120769029,ahc,average,arithmetic,10,weekly,10.0,0.0045,0.9279,0.9234,0.5876751798289472,0.06165176223040503,0.32466347102967613
