,252,252,252,252,252,252,252,252
,stock_only,random_crypto,correlation_crypto,random_subclusters_crypto,correlation_subclusters_crypto,subcluster_0_crypto,subcluster_1_crypto,subcluster_2_crypto
annualised_return,0.07190793950428624,-0.0072500252446971135,0.06349172993066099,-0.0030395925496451725,0.04643925145650941,0.005689804045208765,0.0013670228344811344,-0.016506610309608597
mean_period_return,0.07190793950428624,-0.0072500252446971135,0.06349172993066099,-0.003039592549645172,0.04643925145650941,0.005689804045208765,0.0013670228344811342,-0.016506610309608594
sharpe_annualized,0.1951244510269428,-0.1932338662317148,0.09283480671938928,-0.17919918739955917,0.027165673012033244,-0.1459436576811676,-0.16304162354758062,-0.22707783230455056
sharpe_period,0.1951244510269428,-0.1932338662317148,0.09283480671938929,-0.17919918739955917,0.02716567301203325,-0.1459436576811676,-0.16304162354758062,-0.2270778323045505
period_VaR,20.610254717643016,35.39944023121742,32.64787346642004,34.615990208130086,31.129888187222146,33.24278807280654,33.98857722845548,36.817085940203675
period_CVaR,26.013678842740315,41.45542138318823,39.28768344561474,40.64591282008376,37.41576937777274,39.25301801290618,40.02041769718332,42.893754071281364
annualized_VaR,20.610254717643016,35.39944023121742,32.64787346642004,34.615990208130086,31.129888187222146,33.24278807280654,33.98857722845548,36.817085940203675
annualized_CVaR,26.013678842740315,41.45542138318823,39.28768344561474,40.64591282008376,37.41576937777274,39.25301801290618,40.02041769718332,42.893754071281364
annualized_volatility,0.1744030297437945,0.24428652606065435,0.2586018033500898,0.24009238088731524,0.23792420366538627,0.23362586904777435,0.2372844320934036,0.2509808458127475
